en_query	cs_query	en_parse	cs_parse	domain
Add a new weekly reminder for Sunday Brunch at 9 : 30 am	9 : 30 am ko Sunday Brunch ke liye ek naya weekly reminder add karen	[IN:CREATE_ALARM Add a new [SL:PERIOD weekly ] reminder for [SL:ALARM_NAME Sunday Brunch ] [SL:DATE_TIME at 9 : 30 am ] ]	[IN:CREATE_ALARM [SL:DATE_TIME 9 : 30 am ko ] [SL:ALARM_NAME Sunday Brunch ] ke liye ek naya [SL:PERIOD weekly ] reminder add karen ]	alarm
message danny and see if he wants to go to comic con	danny ko message karo aur dekho ke he wants to go to comic con	[IN:SEND_MESSAGE message [SL:RECIPIENT danny ] and see if [SL:CONTENT_EXACT he wants to go to comic con ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT danny ] ko message karo aur dekho ke [SL:CONTENT_EXACT he wants to go to comic con ] ]	messaging
set alarm for 2 hours	do ghante ke liye alarm set kardo	[IN:CREATE_ALARM set alarm [SL:DATE_TIME for 2 hours ] ]	[IN:CREATE_ALARM [SL:DATE_TIME do ghante ke liye ] alarm set kardo ]	alarm
kill the reminder for baking a cake for neil	neil ke liye cake bake karne ke reminder ko mita den	[IN:DELETE_REMINDER kill the reminder for [SL:TODO baking a cake for neil ] ]	[IN:DELETE_REMINDER [SL:TODO neil ke liye cake bake karne ] ke reminder ko mita den ]	reminder
retrieve my chat requests please	Please mere chat requests ko retrieve kare	[IN:GET_MESSAGE retrieve my chat requests please ]	[IN:GET_MESSAGE Please mere chat requests ko retrieve kare ]	messaging
If I leave here by 9 pm , will I get to Taipei by 11 pm ?	agar mai raat 9 baje tak idhar se nikal jau toh kya mai raat 11 baje tak Taipei pahunch jaunga ?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE by 9 pm ] , will I get to [SL:DESTINATION Taipei ] [SL:DATE_TIME_ARRIVAL by 11 pm ] ? ]	[IN:GET_ESTIMATED_ARRIVAL agar mai [SL:DATE_TIME_DEPARTURE raat 9 baje tak ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER idhar ] ] ] se nikal jau toh kya mai [SL:DATE_TIME_ARRIVAL raat 11 baje tak ] [SL:DESTINATION Taipei ] pahunch jaunga ? ]	navigation
Things to do this weekend for free in Pensacola	Pensacola me is weekend ko free me karne ke liye cheeze	[IN:GET_EVENT Things to do [SL:DATE_TIME this weekend ] for [SL:ATTRIBUTE_EVENT free ] in [SL:LOCATION Pensacola ] ]	[IN:GET_EVENT [SL:LOCATION Pensacola ] me [SL:DATE_TIME is weekend ] ko [SL:ATTRIBUTE_EVENT free ] me karne ke liye cheeze ]	event
Is it going to be cold today	Kya aaj thand hone wali hai	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE cold ] [SL:DATE_TIME today ] ]	[IN:GET_WEATHER Kya [SL:DATE_TIME aaj ] [SL:WEATHER_ATTRIBUTE thand ] hone wali hai ]	weather
Text Chris I ' m stuck in traffic	Chris ko text karo ki I ' m stuck in traffic	[IN:SEND_MESSAGE Text [SL:RECIPIENT Chris ] [SL:CONTENT_EXACT I ' m stuck in traffic ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Chris ] ko text karo ki [SL:CONTENT_EXACT I ' m stuck in traffic ] ]	messaging
please set timer for 50 minutes	please 50 minutes ke liye timer ko set karen	[IN:CREATE_TIMER please set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 50 minutes ] ]	[IN:CREATE_TIMER please [SL:DATE_TIME 50 minutes ke liye ] [SL:METHOD_TIMER timer ] ko set karen ]	timer
delete 7 pm alarm	7 pm ke alarm ko delete karo	[IN:DELETE_ALARM delete [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME 7 pm ] ] ] alarm ]	[IN:DELETE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME 7 pm ] ] ] ke alarm ko delete karo ]	alarm
Remove all chore reminders that are before 9 am . , please .	Please subah 9 baje se pehle ke sabhi chore reminders ko hataye	[IN:DELETE_REMINDER Remove [SL:AMOUNT all ] [SL:TODO chore ] reminders that are [SL:DATE_TIME before 9 am ] . , please . ]	[IN:DELETE_REMINDER Please [SL:DATE_TIME subah 9 baje se pehle ] ke [SL:AMOUNT sabhi ] [SL:TODO chore ] reminders ko hataye ]	reminder
Temperature next week in San Francisco c	Agle hafte San Francisco me temperature c me	[IN:GET_WEATHER Temperature [SL:DATE_TIME next week ] in [SL:LOCATION San Francisco ] [SL:WEATHER_TEMPERATURE_UNIT c ] ]	[IN:GET_WEATHER [SL:DATE_TIME Agle hafte ] [SL:LOCATION San Francisco ] me temperature [SL:WEATHER_TEMPERATURE_UNIT c ] me ]	weather
Cancel alarm for 6 : 10	6 : 10 ke liye alarm ko cancel karen	[IN:DELETE_ALARM Cancel alarm [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME for 6 : 10 ] ] ] ]	[IN:DELETE_ALARM [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME 6 : 10 ke liye ] ] ] alarm ko cancel karen ]	alarm
repeat the song Just the way you are	Just the way you are song ko dohrayen	[IN:REPLAY_MUSIC repeat the [SL:MUSIC_TYPE song ] [SL:MUSIC_TRACK_TITLE Just the way you are ] ]	[IN:REPLAY_MUSIC [SL:MUSIC_TRACK_TITLE Just the way you are ] [SL:MUSIC_TYPE song ] ko dohrayen ]	music
How long will it take me to get there in heavy traffic	bhaari traffic me mujhe waha pahunchne me kitna samay lagega	[IN:GET_ESTIMATED_DURATION How long will it take me to get [SL:DESTINATION there ] in heavy traffic ]	[IN:GET_ESTIMATED_DURATION bhaari traffic me mujhe [SL:DESTINATION waha ] pahunchne me kitna samay lagega ]	navigation
Create a playlist of songs from the 90 ' s	90 ke songs ki ek playlist create karo	[IN:CREATE_PLAYLIST_MUSIC Create a [SL:MUSIC_TYPE playlist ] of [SL:MUSIC_TYPE songs ] from the [SL:MUSIC_GENRE 90 ] ' s ]	[IN:CREATE_PLAYLIST_MUSIC [SL:MUSIC_GENRE 90 ] ke [SL:MUSIC_TYPE songs ] ki ek [SL:MUSIC_TYPE playlist ] create karo ]	music
what ' s the weather in baltimore	baltimore me mausam kaisa hai	[IN:GET_WEATHER what ' s the weather in [SL:LOCATION baltimore ] ]	[IN:GET_WEATHER [SL:LOCATION baltimore ] me mausam kaisa hai ]	weather
start playing Magic 93 Point 7	Magic 93 Point 7 bajaana shuru karo	[IN:PLAY_MUSIC start playing [SL:MUSIC_RADIO_ID Magic 93 Point 7 ] ]	[IN:PLAY_MUSIC [SL:MUSIC_RADIO_ID Magic 93 Point 7 ] bajaana shuru karo ]	music
Outlander schedule on Showtime	Showtime par Outlander schedule	[IN:UNSUPPORTED_EVENT Outlander schedule on Showtime ]	[IN:UNSUPPORTED_EVENT Showtime par Outlander schedule ]	event
how humid is today	aaj humid kitna hai	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE humid ] is [SL:DATE_TIME today ] ]	[IN:GET_WEATHER [SL:DATE_TIME aaj ] [SL:WEATHER_ATTRIBUTE humid ] kitna hai ]	weather
Create an alarm for 6 am and 5 pm every monday	har monday 6 am and 5 pm ke liye alarm create kare	[IN:CREATE_ALARM Create an alarm [SL:DATE_TIME_RECURRING for 6 am and 5 pm every monday ] ]	[IN:CREATE_ALARM [SL:DATE_TIME_RECURRING har monday 6 am and 5 pm ke liye ] alarm create kare ]	alarm
